brand,lowtier_gmv,lowtier_cancel,brand_total_gmv,lowtier_share,recoverable_gmv_if_fbn_cancel
generic,35332.67,4263.45,154192.75999999998,22.91461025796542,3328.9731510622437
dubaigallery,15069.300000000001,655.01,15069.300000000001,100.0,256.4578390764771
marcolo,6417.4400000000005,24.0,20934.51,30.654837395286545,0.0
smiggle,4776.889999999999,109.33,5169.329999999999,92.40830049542204,0.0
kovar,3907.2000000000003,171.29999999999998,3907.2000000000003,100.0,67.96255213179187
keke,2936.0199999999995,0.0,2936.0199999999995,100.0,0.0
bentgo,2862.99,393.01,2862.99,100.0,317.28977071247925
aiwanto,2520.74,0.0,3047.17,82.72397010997088,0.0
ayda,2260.37,0.0,2895.33,78.06951193819012,0.0
chako_lab,2067.67,745.01,2812.69,73.51218939876063,690.3243578947436
toshionics,1772.19,119.99,42511.61,4.168720027305482,73.1191994938678
sistema,1761.01,52.0,1761.01,100.0,5.424887625308877
lingwei,1746.57,0.0,1746.57,100.0,0.0
blooming_time,1722.83,0.0,4527.41,38.05332408595643,0.0
pan_home,1711.19,10.0,1711.19,100.0,0.0
yah_creation,1631.3899999999999,0.0,2730.05,59.75678101133678,0.0
famapy,1555.03,0.0,2738.06,56.79313090290206,0.0
luxoraq,1394.07,33.49,1821.6299999999999,76.52871329523559,0.0
alsaqer,1364.6,24.9,2520.21,54.14628146067192,0.0
tpgp,1316.6299999999999,0.0,1316.6299999999999,100.0,0.0
eworld,1275.88,0.0,12656.749999999998,10.080628913425645,0.0
adebola,1242.03,156.0,1242.03,100.0,123.15084705780342
festive_gallery,1185.0,35.0,1299.0,91.22401847575058,3.6591739036070337
strata,1139.03,0.0,1139.03,100.0,0.0
nkx,1089.93,0.0,1089.93,100.0,0.0
snack_attack,1069.76,0.0,1885.63,56.73223272858407,0.0
locknlock,1024.93,215.25,4137.41,24.7722609071859,188.1426979822987
zwilling,865.02,0.0,1617.02,53.494700127394836,0.0
orchid,641.94,0.0,1173.95,54.68205630563483,0.0
mackenzie_childs,593.01,593.01,1980.04,29.949394961717946,577.3260984950025
livvy,476.19999999999993,20.73,18176.32,2.619892255418038,8.135484061517023
cuisine_art,449.11,0.0,2100.92,21.376825390781182,0.0
falpro,384.11,0.0,1918.94,20.01678009734541,0.0
omie,361.0,0.0,4168.37,8.66045960411384,0.0
vucatin,348.7,0.0,1559.3799999999999,22.36145134604779,0.0
falconpack,297.36,0.0,6309.2,4.713117352437711,0.0
cosmoplast,292.2,0.0,22877.320000000003,1.2772475097607585,0.0
tupperware,280.99,200.0,1116.9,25.15802668099203,192.56838926175067
jcb_chic,260.01,34.0,1717.65,15.137542572701074,27.12326734740664
1chase,241.4,0.0,1568.3500000000001,15.391972455128,0.0
xiuwoo,240.62,0.0,17684.82,1.3606019173505866,0.0
fufu,209.95,0.0,2156.5099999999998,9.735637673834113,0.0
moment,192.8,0.0,28677.320000000003,0.6723082910118519,0.0
royalford,192.0,0.0,11356.820000000002,1.6906140979605202,0.0
almufarrej,179.31,0.0,1814.15,9.883967698371137,0.0
falcon,172.95,0.0,2525.0099999999998,6.8494778238502025,0.0
milton,163.31,0.0,10099.320000000002,1.6170395630596908,0.0
beauenty,151.2,0.0,15925.300000000003,0.9494326637488772,0.0
ggerou,140.31,0.0,4198.57,3.3418521067887403,0.0
yanek,130.0,0.0,12319.16,1.0552667552008417,0.0
arabest,128.3,0.0,18134.39,0.7074955374843048,0.0
scrolls,124.96000000000001,0.0,1299.5700000000002,9.615488199943059,0.0
feelings,118.8,43.2,27551.62,0.43119061601459374,40.05798300400719
zimnest,98.0,0.0,18096.4,0.5415441745319511,0.0
anmi,91.0,0.0,12654.400000000001,0.7191174611202427,0.0
zober,89.99,0.0,12116.960000000001,0.7426780314534338,0.0
hotpack,75.3,0.0,2776.3,2.7122429132298382,0.0
mahmir,72.4,0.0,22814.870000000003,0.31733689475329024,0.0
bgm,69.0,0.0,1619.1399999999999,4.261521548476352,0.0
cytheria,68.0,0.0,1494.57,4.54980362244659,0.0
delcasa,57.13,16.0,3001.51,1.903375301098447,14.489028358745207
tapit,49.2,0.0,1552.2900000000002,3.1695108517094095,0.0
vio,48.9,0.0,1321.7800000000002,3.699556658445429,0.0
homestar,31.0,0.0,15588.14,0.198869140256631,0.0
beola,0.0,0.0,13041.21,0.0,0.0
duniso,0.0,0.0,168732.76,0.0,0.0
luminarc,0.0,0.0,1100.02,0.0,0.0
glad,0.0,0.0,1017.19,0.0,0.0
home_box,0.0,0.0,8233.64,0.0,0.0
rock_pow,0.0,0.0,2156.5499999999997,0.0,0.0
sky_touch,0.0,0.0,15742.23,0.0,0.0
roman_gifts,0.0,0.0,1309.33,0.0,0.0
tycom,0.0,0.0,4175.870000000001,0.0,0.0
songmics,0.0,0.0,14111.609999999999,0.0,0.0
