brand,lowtier_gmv,lowtier_cancel,lowtier_loss,lowtier_gv,lowtier_orders,lowtier_cvr,brand_total_gmv,lowtier_share,cancel_recovery,stockout_recovery,total_opp_16d,total_opp_monthly
famapy,1555.03,0.0,926.3,398.0,9.0,2.0100502512562812,2738.06,56.79313090290206,0.0,926.3,926.3,1759.9699999999998
feelings,118.8,43.2,751.13,129.0,5.0,5.087719298245614,27551.62,0.43119061601459374,40.05798300400719,751.13,791.1879830040072,1503.2571677076135
chako_lab,2067.67,745.01,0.0,187.0,10.0,5.010792476102374,2812.69,73.51218939876063,690.3243578947436,0.0,690.3243578947436,1311.6162800000127
mackenzie_childs,593.01,593.01,0.0,4.0,1.0,16.666666666666664,1980.04,29.949394961717946,577.3260984950025,0.0,577.3260984950025,1096.9195871405047
toshionics,1772.19,119.99,468.23,390.0,26.0,6.666666666666667,42511.61,4.168720027305482,73.1191994938678,468.23,541.3491994938678,1028.5634790383488
aiwanto,2520.74,0.0,531.99,278.0,20.0,7.504480286738351,3047.17,82.72397010997088,0.0,531.99,531.99,1010.781
kovar,3907.2000000000003,171.29999999999998,299.87,2462.0,111.0,4.5085296506904955,3907.2000000000003,100.0,67.96255213179187,299.87,367.8325521317919,698.8818490504045
dubaigallery,15069.300000000001,655.01,78.04,2882.0,102.0,6.515718562874252,15069.300000000001,100.0,256.4578390764771,78.04,334.49783907647713,635.5458942453065
bentgo,2862.99,393.01,0.0,123.0,14.0,12.689599133261105,2862.99,100.0,317.28977071247925,0.0,317.28977071247925,602.8505643537105
duniso,0.0,0.0,268.44,0.0,0.0,,168732.76,0.0,0.0,268.44,268.44,510.03599999999994
marcolo,6417.4400000000005,24.0,207.59,2374.0,116.0,4.566932208684786,20934.51,30.654837395286545,0.0,207.59,207.59,394.421
blooming_time,1722.83,0.0,196.10999999999996,378.0,20.0,9.749670619235836,4527.41,38.05332408595643,0.0,196.10999999999996,196.10999999999996,372.6089999999999
locknlock,1024.93,215.25,0.0,627.0,11.0,7.87695175949662,4137.41,24.7722609071859,188.1426979822987,0.0,188.1426979822987,357.4711261663675
yah_creation,1631.3899999999999,0.0,170.65,97.0,17.0,17.465156794425088,2730.05,59.75678101133678,0.0,170.65,170.65,324.235
eworld,1275.88,0.0,99.97,311.0,25.0,7.395498392282958,12656.749999999998,10.080628913425645,0.0,99.97,99.97,189.94299999999998
jcb_chic,260.01,34.0,0.0,74.0,8.0,54.794520547945204,1717.65,15.137542572701074,27.12326734740664,0.0,27.12326734740664,51.534207960072614
alsaqer,1364.6,24.9,24.16,336.0,29.0,13.157894736842106,2520.21,54.14628146067192,0.0,24.16,24.16,45.903999999999996
delcasa,57.13,16.0,0.0,6.0,4.0,80.0,3001.51,1.903375301098447,14.489028358745207,0.0,14.489028358745207,27.52915388161589
livvy,476.19999999999993,20.73,0.0,184.0,8.0,6.623376623376624,18176.32,2.619892255418038,8.135484061517023,0.0,8.135484061517023,15.457419716882342
sistema,1761.01,52.0,0.0,808.0,31.0,11.81704260651629,1761.01,100.0,5.424887625308877,0.0,5.424887625308877,10.307286488086865
bgm,69.0,0.0,0.0,81.0,3.0,2.0,1619.1399999999999,4.261521548476352,0.0,0.0,0.0,0.0
beola,0.0,0.0,0.0,263.0,0.0,0.0,13041.21,0.0,0.0,0.0,0.0,0.0
ayda,2260.37,0.0,0.0,445.0,31.0,6.96629213483146,2895.33,78.06951193819012,0.0,0.0,0.0,0.0
beauenty,151.2,0.0,0.0,109.0,5.0,7.555555555555555,15925.300000000003,0.9494326637488772,0.0,0.0,0.0,0.0
arabest,128.3,0.0,0.0,12.0,2.0,22.22222222222222,18134.39,0.7074955374843048,0.0,0.0,0.0,0.0
anmi,91.0,0.0,0.0,4.0,1.0,25.0,12654.400000000001,0.7191174611202427,0.0,0.0,0.0,0.0
1chase,241.4,0.0,0.0,36.0,3.0,52.857142857142854,1568.3500000000001,15.391972455128,0.0,0.0,0.0,0.0
almufarrej,179.31,0.0,0.0,54.0,3.0,5.555555555555555,1814.15,9.883967698371137,0.0,0.0,0.0,0.0
homestar,31.0,0.0,0.0,0.0,1.0,,15588.14,0.198869140256631,0.0,0.0,0.0,0.0
home_box,0.0,0.0,0.0,0.0,0.0,,8233.64,0.0,0.0,0.0,0.0,0.0
ggerou,140.31,0.0,0.0,23.0,3.0,13.043478260869565,4198.57,3.3418521067887403,0.0,0.0,0.0,0.0
fufu,209.95,0.0,0.0,20.0,5.0,25.0,2156.5099999999998,9.735637673834113,0.0,0.0,0.0,0.0
falconpack,297.36,0.0,0.0,33.0,7.0,25.0,6309.2,4.713117352437711,0.0,0.0,0.0,0.0
falpro,384.11,0.0,0.0,65.0,10.0,32.14285714285714,1918.94,20.01678009734541,0.0,0.0,0.0,0.0
cuisine_art,449.11,0.0,0.0,93.0,13.0,13.978494623655912,2100.92,21.376825390781182,0.0,0.0,0.0,0.0
falcon,172.95,0.0,0.0,132.0,3.0,2.272727272727273,2525.0099999999998,6.8494778238502025,0.0,0.0,0.0,0.0
cosmoplast,292.2,0.0,0.0,51.0,4.0,8.307453416149068,22877.320000000003,1.2772475097607585,0.0,0.0,0.0,0.0
luxoraq,1394.07,33.49,0.0,230.0,24.0,10.434782608695652,1821.6299999999999,76.52871329523559,0.0,0.0,0.0,0.0
mahmir,72.4,0.0,0.0,0.0,1.0,,22814.870000000003,0.31733689475329024,0.0,0.0,0.0,0.0
milton,163.31,0.0,0.0,202.0,4.0,1.9801980198019802,10099.320000000002,1.6170395630596908,0.0,0.0,0.0,0.0
moment,192.8,0.0,0.0,12.0,2.0,9.090909090909092,28677.320000000003,0.6723082910118519,0.0,0.0,0.0,0.0
lingwei,1746.57,0.0,0.0,1333.0,16.0,1.2003000750187547,1746.57,100.0,0.0,0.0,0.0,0.0
keke,2936.0199999999995,0.0,0.0,552.0,12.0,2.1739130434782608,2936.0199999999995,100.0,0.0,0.0,0.0,0.0
hotpack,75.3,0.0,0.0,17.0,5.0,29.411764705882355,2776.3,2.7122429132298382,0.0,0.0,0.0,0.0
rock_pow,0.0,0.0,0.0,3.0,0.0,0.0,2156.5499999999997,0.0,0.0,0.0,0.0,0.0
pan_home,1711.19,10.0,0.0,938.0,68.0,7.693404069997625,1711.19,100.0,0.0,0.0,0.0,0.0
omie,361.0,0.0,0.0,71.0,2.0,1.4084507042253522,4168.37,8.66045960411384,0.0,0.0,0.0,0.0
sky_touch,0.0,0.0,0.0,0.0,0.0,,15742.23,0.0,0.0,0.0,0.0,0.0
smiggle,4776.889999999999,109.33,0.0,558.0,44.0,7.885304659498208,5169.329999999999,92.40830049542204,0.0,0.0,0.0,0.0
snack_attack,1069.76,0.0,0.0,244.0,23.0,9.426229508196721,1885.63,56.73223272858407,0.0,0.0,0.0,0.0
songmics,0.0,0.0,0.0,6.0,0.0,0.0,14111.609999999999,0.0,0.0,0.0,0.0,0.0
royalford,192.0,0.0,0.0,180.0,5.0,2.7777777777777777,11356.820000000002,1.6906140979605202,0.0,0.0,0.0,0.0
tapit,49.2,0.0,0.0,8.0,1.0,12.5,1552.2900000000002,3.1695108517094095,0.0,0.0,0.0,0.0
tycom,0.0,0.0,0.0,0.0,0.0,,4175.870000000001,0.0,0.0,0.0,0.0,0.0
vucatin,348.7,0.0,0.0,14.0,5.0,35.714285714285715,1559.3799999999999,22.36145134604779,0.0,0.0,0.0,0.0
xiuwoo,240.62,0.0,0.0,69.0,6.0,8.108108108108109,17684.82,1.3606019173505866,0.0,0.0,0.0,0.0
yanek,130.0,0.0,0.0,1.0,1.0,100.0,12319.16,1.0552667552008417,0.0,0.0,0.0,0.0
zimnest,98.0,0.0,0.0,1.0,1.0,100.0,18096.4,0.5415441745319511,0.0,0.0,0.0,0.0
zober,89.99,0.0,0.0,0.0,1.0,,12116.960000000001,0.7426780314534338,0.0,0.0,0.0,0.0
zwilling,865.02,0.0,0.0,0.0,2.0,,1617.02,53.494700127394836,0.0,0.0,0.0,0.0
