brand,pb,gmv,gv,orders,cvr
arabest,<25,705.67,811.0,32.0,3.945745992601726
arabest,25-50,10992.460000000001,6446.0,254.0,3.940428172510084
arabest,50-100,23147.52,12008.0,311.0,2.5899400399733508
arabest,100-200,3511.19,1575.0,25.0,1.5873015873015872
arabest,200-400,402.01,101.0,2.0,1.9801980198019802
auraluxi,50-100,2499.74,3009.0,34.0,1.1299435028248588
auraluxi,100-200,44196.42,10790.0,273.0,2.5301204819277108
beola,25-50,521.87,204.0,11.0,5.392156862745098
beola,50-100,17399.13,6206.0,237.0,3.81888495004834
beola,100-200,57098.98999999999,15292.0,382.0,2.4980381899032174
beola,200-400,0.0,1487.0,0.0,0.0
cosmoplast,<25,682.34,438.0,26.0,5.93607305936073
cosmoplast,25-50,7955.37,1939.0,96.0,4.951005673027334
cosmoplast,50-100,8871.18,1760.0,108.0,6.136363636363637
cosmoplast,100-200,8683.55,1101.0,43.0,3.905540417801998
cosmoplast,200-400,12255.170000000002,1370.0,55.0,4.014598540145985
cosmoplast,400+,3518.7300000000005,563.0,8.0,1.4209591474245116
duniso,<25,1645.34,2324.0,67.0,2.882960413080895
duniso,25-50,131353.36000000002,51128.0,2590.0,5.065717415115006
duniso,50-100,200072.87,66641.0,2890.0,4.336669617802854
duniso,100-200,8677.789999999999,3431.0,73.0,2.127659574468085
duniso,200-400,0.0,12.0,0.0,0.0
feelings,<25,31804.300000000003,10686.0,1598.0,14.954145611079916
feelings,25-50,20520.230000000003,4913.0,500.0,10.17708121310808
feelings,50-100,340.81,117.0,5.0,4.273504273504273
feelings,100-200,0.0,1.0,0.0,0.0
haidue,<25,188.07,239.0,8.0,3.3472803347280333
haidue,25-50,39673.840000000004,14618.0,919.0,6.28676973594199
haidue,50-100,19698.020000000004,7775.0,279.0,3.5884244372990355
haidue,100-200,2256.5200000000004,643.0,18.0,2.7993779160186625
longchamp,50-100,91317.17,28602.0,928.0,3.2445283546605133
longchamp,100-200,51168.22,15209.0,429.0,2.820698270760734
mahmir,<25,2635.3700000000003,1539.0,103.0,6.692657569850552
mahmir,25-50,13927.18,5384.0,307.0,5.702080237741456
mahmir,50-100,36574.549999999996,7331.0,526.0,7.175010230527895
mahmir,100-200,3254.64,830.0,30.0,3.614457831325301
marcolo,<25,7744.1,4694.0,400.0,8.521516829995738
marcolo,25-50,19035.89,4792.0,373.0,7.783806343906511
marcolo,50-100,12497.789999999999,3359.0,115.0,3.423637987496279
marcolo,100-200,14661.98,3472.0,83.0,2.390552995391705
marcolo,200-400,2074.55,324.0,8.0,2.4691358024691357
milton,<25,4903.0599999999995,7778.0,265.0,3.407045512985343
milton,25-50,14616.34,16128.0,385.0,2.3871527777777777
milton,50-100,18019.699999999997,20312.0,321.0,1.580346593146908
milton,100-200,467.55,199.0,3.0,1.507537688442211
milton,200-400,0.0,16.0,0.0,0.0
moment,<25,36705.03,16772.0,2242.0,13.367517290722633
moment,25-50,7123.89,1860.0,191.0,10.268817204301076
moment,50-100,12842.77,2117.0,210.0,9.919697685403873
moment,100-200,0.0,3.0,0.0,0.0
moment,200-400,0.0,1.0,0.0,0.0
noon_east,<25,14181.27,4472.0,570.0,12.745974955277282
noon_east,25-50,77937.54,14324.0,1543.0,10.772130689751465
noon_east,50-100,95857.80000000002,25381.0,1439.0,5.669595366612821
noon_east,100-200,10825.449999999999,4024.0,78.0,1.9383697813121274
noon_east,200-400,0.0,13.0,0.0,0.0
toshionics,<25,15336.02,18470.0,770.0,4.168922577152139
toshionics,25-50,17359.33,12090.0,543.0,4.491315136476427
toshionics,50-100,24199.010000000002,6540.0,316.0,4.8318042813455655
toshionics,100-200,38014.049999999996,7186.0,269.0,3.743389924853883
toshionics,200-400,487.01,570.0,2.0,0.3508771929824561
toshionics,400+,0.0,0.0,0.0,
zimnest,25-50,1970.09,665.0,35.0,5.263157894736842
zimnest,50-100,37534.14,17292.0,545.0,3.1517464723571593
zimnest,100-200,118.0,72.0,1.0,1.3888888888888888
