brand,pst,gmv,gv,orders,n_skus,n_selling,gmv_per_sku,cvr,selling_pct
adando,lunch_box,4477.860000000001,1849.0,45.0,44.0,18.0,101.76954545454547,2.43374797187669,40.909090909090914
adidas,lunch_bag,1735.03,584.0,22.0,11.0,4.0,157.73,3.767123287671233,36.36363636363637
aiwanto,clothes_rack,2069.38,301.0,10.0,20.0,5.0,103.46900000000001,3.322259136212625,25.0
alsaqer,food_containers,2520.21,1082.0,59.0,45.0,24.0,56.004666666666665,5.452865064695009,53.333333333333336
anmi,racks,3130.55,11158.0,41.0,14.0,11.0,223.6107142857143,0.3674493636852483,78.57142857142857
arabest,lunch_box,1977.62,1093.0,36.0,42.0,22.0,47.086190476190474,3.293687099725526,52.38095238095239
arabest,racks,2573.62,1139.0,30.0,68.0,22.0,37.84735294117647,2.633889376646181,32.35294117647059
arabest,space_saver_bag,4316.120000000001,793.0,58.0,18.0,6.0,239.7844444444445,7.3139974779319035,33.33333333333333
beauenty,food_containers,3787.92,848.0,56.0,17.0,14.0,222.81882352941176,6.60377358490566,82.35294117647058
beauenty,racks,4903.26,2157.0,46.0,15.0,6.0,326.884,2.132591562355123,40.0
bentgo,lunch_box,2690.99,119.0,13.0,15.0,7.0,179.39933333333332,10.92436974789916,46.666666666666664
beola,food_containers,4967.08,1662.0,49.0,31.0,22.0,160.22838709677418,2.9482551143200966,70.96774193548387
beola,lunch_box,8013.18,3294.0,85.0,55.0,18.0,145.69418181818182,2.580449301760777,32.72727272727273
blooming_time,racks,2378.94,883.0,20.0,73.0,11.0,32.58821917808219,2.2650056625141564,15.068493150684931
borosil,lunch_box,1506.02,758.0,11.0,17.0,6.0,88.58941176470589,1.4511873350923483,35.294117647058826
cosmoplast,storage_box,12495.13,1931.0,131.0,57.0,18.0,219.21280701754384,6.784049715173484,31.57894736842105
dubaigallery,racks,12794.48,2104.0,81.0,633.0,41.0,20.21244865718799,3.8498098859315593,6.477093206951026
dunekart,racks,2086.71,5699.0,44.0,28.0,16.0,74.52535714285715,0.7720652746095806,57.14285714285714
duniso,cabinet_drawer_organization,2629.3599999999997,1092.0,35.0,29.0,12.0,90.66758620689654,3.205128205128205,41.37931034482759
duniso,closet_clothes_hanger,8220.0,1461.0,120.0,59.0,29.0,139.32203389830508,8.213552361396303,49.152542372881356
duniso,closet_shelf_divider,2720.6099999999997,1363.0,43.0,14.0,10.0,194.3292857142857,3.1548055759354363,71.42857142857143
duniso,clothes_rack,7256.84,2515.0,115.0,41.0,21.0,176.9960975609756,4.572564612326044,51.21951219512195
duniso,foldable_wardrobe,9283.72,2722.0,125.0,79.0,12.0,117.51544303797468,4.592211609110948,15.18987341772152
duniso,food_containers,6745.120000000001,2352.0,105.0,108.0,42.0,62.454814814814824,4.464285714285714,38.88888888888889
duniso,garage_storage,2085.56,385.0,30.0,14.0,5.0,148.96857142857144,7.792207792207792,35.714285714285715
duniso,hanging_closet_organizer,11207.859999999999,4759.0,192.0,66.0,41.0,169.81606060606057,4.0344610212229455,62.121212121212125
duniso,racks,20121.37,10214.0,312.0,151.0,68.0,133.2541059602649,3.054630898766399,45.033112582781456
duniso,space_saver_bag,32592.68,7578.0,578.0,304.0,109.0,107.21276315789474,7.627342306677224,35.85526315789473
duniso,storage_basket,1898.87,786.0,28.0,24.0,14.0,79.11958333333332,3.5623409669211195,58.333333333333336
duniso,storage_box,53935.37999999999,21072.0,881.0,315.0,130.0,171.22342857142854,4.18090356871678,41.269841269841265
duniso,under_bed_storage,4175.65,983.0,72.0,13.0,5.0,321.20384615384614,7.3245167853509665,38.46153846153847
falconpack,aluminium_foil,1706.0,486.0,124.0,12.0,9.0,142.16666666666666,25.514403292181072,75.0
falconpack,bag,2342.73,1153.0,175.0,15.0,9.0,156.182,15.177797051170858,60.0
feelings,closet_clothes_hanger,16279.15,3153.0,601.0,44.0,23.0,369.98068181818184,19.061211544560734,52.27272727272727
feelings,food_containers,3406.8099999999995,1935.0,170.0,23.0,15.0,148.12217391304347,8.785529715762273,65.21739130434783
forthcan,clothes_rack,6122.7300000000005,958.0,24.0,25.0,10.0,244.90920000000003,2.5052192066805845,40.0
forthcan,racks,7317.469999999999,1289.0,27.0,27.0,12.0,271.0174074074074,2.094647013188518,44.44444444444444
ggerou,lunch_box,2862.74,1991.0,50.0,42.0,15.0,68.16047619047619,2.51130085384229,35.714285714285715
haidue,cabinet_drawer_organization,8029.89,1376.0,158.0,10.0,9.0,802.989,11.482558139534884,90.0
haidue,racks,15312.86,6066.0,283.0,27.0,21.0,567.142962962963,4.665347840422025,77.77777777777779
hihonor,storage_box,4417.2,1707.0,70.0,14.0,8.0,315.5142857142857,4.100761570005859,57.14285714285714
homarket,racks,5067.73,1790.0,73.0,17.0,14.0,298.1017647058823,4.078212290502793,82.35294117647058
homarket,space_saver_bag,2454.6400000000003,688.0,44.0,11.0,8.0,223.14909090909094,6.395348837209303,72.72727272727273
homestar,closet_clothes_hanger,1730.78,521.0,53.0,65.0,23.0,26.627384615384614,10.17274472168906,35.38461538461539
homestar,food_containers,3537.67,1010.0,107.0,71.0,34.0,49.82633802816901,10.594059405940595,47.88732394366197
homestar,racks,2507.2,551.0,43.0,62.0,17.0,40.438709677419354,7.80399274047187,27.419354838709676
hotpack,aluminium_foil,1950.29,554.0,131.0,32.0,8.0,60.9465625,23.646209386281587,25.0
house_day,closet_clothes_hanger,3844.1399999999994,677.0,76.0,149.0,34.0,25.799597315436237,11.225997045790251,22.818791946308725
joyoussto,food_containers,5160.39,838.0,57.0,11.0,9.0,469.1263636363637,6.801909307875895,81.81818181818183
kovar,storage_box,3851.4500000000003,2392.0,107.0,13.0,10.0,296.2653846153846,4.473244147157191,76.92307692307693
locknlock,food_containers,4099.01,2956.0,105.0,320.0,56.0,12.80940625,3.5520974289580516,17.5
longchamp,bag,27913.83,8104.0,267.0,20.0,18.0,1395.6915000000001,3.29466929911155,90.0
longchamp,space_saver_bag,31448.800000000003,7435.0,286.0,52.0,46.0,604.7846153846154,3.8466711499663755,88.46153846153845
mahmir,lunch_bag,2069.2799999999997,1034.0,67.0,12.0,9.0,172.43999999999997,6.479690522243714,75.0
mahmir,lunch_box,2940.75,1278.0,61.0,12.0,10.0,245.0625,4.773082942097027,83.33333333333334
marcolo,storage_box,20934.510000000002,5746.0,353.0,111.0,61.0,188.59918918918922,6.143404107205012,54.95495495495496
