pst,brand,impr,gv,gmv,ctr
cabinet_drawer_organization,arabest,17205.0,644.0,1385.72,3.7430979366463237
cabinet_drawer_organization,auraluxi,17284.0,1663.0,1772.9299999999998,9.621615366813238
cabinet_drawer_organization,duniso,68335.0,2703.0,5410.43,3.9555132801638986
cabinet_drawer_organization,eworld,119503.0,2065.0,9882.29,1.727990092298938
cabinet_drawer_organization,festive_gallery,15861.0,674.0,1146.0,4.249416808524053
cabinet_drawer_organization,generic,108831.0,4193.0,12222.93,3.8527625400850862
cabinet_drawer_organization,haidue,93424.0,2842.0,15920.500000000002,3.042044870697037
cabinet_drawer_organization,homarket,25461.0,1575.0,4264.11,6.185931424531637
cabinet_drawer_organization,nayzaan,28515.0,776.0,1723.24,2.721374715062248
cabinet_drawer_organization,sky_touch,112726.0,3003.0,6845.48,2.663981690115856
cabinet_drawer_organization,solerconm,18962.0,830.0,1339.45,4.377175403438456
cabinet_drawer_organization,toshionics,62660.0,2329.0,6548.54,3.7168847749760614
cabinet_drawer_organization,zimnest,23274.0,997.0,5571.920000000001,4.283750107416
closet_clothes_hanger,duniso,108600.0,3600.0,16656.96,3.314917127071823
closet_clothes_hanger,feelings,221254.0,6949.0,37492.22,3.140734178817106
closet_clothes_hanger,generic,134623.0,5221.0,24058.28,3.878237745407546
closet_clothes_hanger,homestar,20472.0,1040.0,2925.2300000000005,5.080109417741306
closet_clothes_hanger,house_day,22037.0,1610.0,7868.51,7.3058946317556845
closet_clothes_hanger,jehan,27412.0,776.0,6282.869999999999,2.830876988180359
closet_clothes_hanger,moment,18226.0,322.0,2596.6499999999996,1.766706902227587
closet_clothes_hanger,noon_east,521364.0,6830.0,61922.079999999994,1.3100252414819589
closet_clothes_hanger,red_dot_gift,40937.0,2339.0,9557.119999999999,5.7136575713901845
closet_clothes_hanger,sky_touch,26896.0,1075.0,4245.55,3.996876859012492
closet_clothes_hanger,tycom,16515.0,526.0,3341.06,3.184983348471087
closet_clothes_hanger,ununs,21867.0,514.0,3801.4700000000003,2.350573924177985
closet_clothes_hanger,xiuwoo,23898.0,1071.0,1742.13,4.481546572934974
closet_clothes_hanger,yanek,102337.0,3291.0,29421.230000000003,3.215845686310914
closet_clothes_hanger,zayva,30197.0,1464.0,15757.460000000001,4.848163724873332
closet_clothes_hanger,zober,43326.0,2025.0,22160.4,4.673867885334442
closet_organization_systems,duniso,40242.0,858.0,4868.66,2.132100790219174
closet_organization_systems,eworld,18251.0,1008.0,2003.34,5.522985041915511
closet_organization_systems,feelings,15615.0,365.0,1502.95,2.3374959974383605
closet_organization_systems,generic,32360.0,1912.0,3537.95,5.908529048207664
