pst,gmv,loss_ctr,loss_conv,loss_stock,loss_total
racks,223508.0,0.0,420885.0,72355.0,493241.0
storage_box,227319.0,0.0,197723.0,93758.0,291481.0
food_containers,169504.0,152793.0,0.0,75219.0,228012.0
lunch_box,107747.0,83640.0,107487.0,10484.0,201611.0
storage_basket,30336.0,0.0,150037.0,11391.0,161428.0
closet_clothes_hanger,130243.0,140960.0,0.0,9248.0,150208.0
space_saver_bag,150433.0,43289.0,0.0,79191.0,122480.0
cabinet_drawer_organization,54940.0,39866.0,0.0,23743.0,63609.0
foldable_wardrobe,36420.0,0.0,58468.0,1748.0,60216.0
lunch_bag,44683.0,37670.0,0.0,8004.0,45675.0
closet_organization_systems,25418.0,32395.0,0.0,12925.0,45321.0
storage_set,33269.0,32267.0,0.0,3738.0,36006.0
bag,57544.0,0.0,0.0,31555.0,31555.0
hanging_closet_organizer,25364.0,3337.0,8344.0,3467.0,15149.0
closet_shelf_divider,4728.0,0.0,7814.0,1531.0,9345.0
spice_jars,33162.0,2461.0,0.0,6552.0,9013.0
storage_bottles,17943.0,0.0,4575.0,4212.0,8787.0
clothes_rack,69771.0,777.0,1014.0,5778.0,7569.0
biscuit_cookie_jar,12546.0,5929.0,0.0,826.0,6755.0
food_saver,8333.0,666.0,0.0,5505.0,6171.0
aluminium_foil,6632.0,5345.0,0.0,339.0,5684.0
countertop_wall_organization,3512.0,675.0,1628.0,1217.0,3521.0
egg_holder,1493.0,2713.0,0.0,0.0,2713.0
cling_film,3640.0,2331.0,0.0,164.0,2495.0
kitchen_storage_accessories,5786.0,0.0,0.0,2402.0,2402.0
dinnerware_stemware_storage,3758.0,0.0,1618.0,0.0,1618.0
sink_sets,3615.0,1459.0,0.0,65.0,1524.0
under_bed_storage,8638.0,0.0,0.0,1492.0,1492.0
garage_storage,7718.0,1210.0,96.0,0.0,1306.0
bread_box,3109.0,0.0,772.0,0.0,772.0
flatware_utensil_storage,3505.0,0.0,0.0,0.0,0.0
other_storage,11930.0,0.0,0.0,0.0,0.0
