pst,gmv,gv,orders,impressions,atc,units,instock_wtd,platform_gmv_loss,ctr,cvr,atc_rate,asp,gv_share,problem_tags
aluminium_foil,6632.05,1896.0,376.0,53455.0,930.0,426.0,99.49235232042555,128.05,0.03546908614722664,0.19831223628691982,0.49050632911392406,15.56819248826291,0.3130334859976952,"['A: Traffic problem (high CVR, low GV)', 'B: CTR problem (impr ok, weak click-through)']"
bag,57544.049999999996,19452.0,1785.0,363827.0,4689.5,1969.0,94.81672835713029,7921.43,0.05346497098895904,0.09176434299814928,0.24108060867777092,29.225012696800405,3.211565068368759,['D: Stock problem (demand + weak instock)']
biscuit_cookie_jar,12546.18,3764.0,238.0,93044.0,822.4,292.0,98.76295164665144,155.55,0.04045397876273591,0.06323060573857599,0.21849096705632307,42.966369863013696,0.6214441146072387,[]
bread_box,3108.74,1546.0,65.0,23915.0,206.3,67.0,98.27781371220827,0.0,0.06464561990382606,0.04204398447606727,0.13344113842173352,46.399104477611935,0.2552477686458,[]
cabinet_drawer_organization,54940.31999999999,16260.0,919.0,444809.0,3221.8,1032.0,97.14483394819756,5197.539999999999,0.03655501574833243,0.056519065190651904,0.19814268142681427,53.23674418604651,2.6845593261194742,"['B: CTR problem (impr ok, weak click-through)']"
cereal_dispenser,3273.93,877.0,52.0,15477.0,212.3,60.0,92.09663626043545,273.99,0.05666472830651935,0.059293044469783354,0.24207525655644244,54.5655,0.1447944974788917,"['A: Traffic problem (high CVR, low GV)']"
cling_film,3639.5,1001.0,168.0,26496.0,402.1,190.0,99.56918081884517,0.0,0.03777928743961353,0.16783216783216784,0.40169830169830173,19.155263157894737,0.1652671516264203,"['A: Traffic problem (high CVR, low GV)']"
closet_clothes_hanger,130243.36000000002,19839.0,2703.0,616438.0,6329.1,3805.0,96.58784464932539,1898.0600000000002,0.032183285261453705,0.13624678663239073,0.31902313624678663,34.22952956636006,3.275459561554997,"['B: CTR problem (impr ok, weak click-through)']"
closet_organization_systems,25417.909999999996,6711.0,541.0,221965.0,1394.0,679.0,97.70712263463275,1542.13,0.030234496429617282,0.08061391744896439,0.20771867083892118,37.43432989690721,1.1079998547101964,"['B: CTR problem (impr ok, weak click-through)']"
closet_shelf_divider,4728.39,3068.0,78.0,42759.0,307.0,91.0,96.19662646666497,402.87,0.07175097640262869,0.025423728813559324,0.1000651890482399,51.96032967032967,0.5065330881017558,"['C: Conversion problem (high GV, low CVR)']"
