pst,<25 AED,25-50 AED,50-100 AED,100-200 AED,200-400 AED,400+ AED
storage_box,9290.86,83223.96,97376.42,31688.95,2120.55,463.51
racks,5123.84,34790.55,83794.64,84590.96,11385.08,2685.16
food_containers,22125.99,42728.54,86594.81,13449.93,380.01,470.54
space_saver_bag,7592.099999999999,38406.88,91474.22,11856.18,0.0,715.19
closet_clothes_hanger,26660.5,56387.880000000005,38436.1,6253.2,468.04,440.01
lunch_box,6692.97,35331.19,45525.270000000004,10577.8,9360.8,0.0
clothes_rack,1992.97,10966.17,29069.12,19260.02,7708.09,739.02
bag,19975.7,6143.91,10571.179999999998,20224.25,245.01,0.0
cabinet_drawer_organization,2699.4500000000003,19402.1,17928.15,10817.25,968.02,2854.05
lunch_bag,15005.01,11897.99,9408.84,7161.6,0.0,0.0
