pst,pb,gmv,gv,orders,cvr
bag,<25,19975.700000000004,7921.0,1302.0,16.437318520388843
bag,25-50,6143.91,2581.0,166.0,6.431615652847733
bag,50-100,10571.179999999998,2669.0,113.0,4.233795428999625
bag,100-200,20224.25,6059.0,183.0,3.0203003796005943
bag,200-400,245.01,43.0,1.0,2.3255813953488373
bag,400+,0.0,0.0,0.0,
cabinet_drawer_organization,<25,2699.45,1860.0,119.0,6.397849462365592
cabinet_drawer_organization,25-50,19402.100000000002,4924.0,446.0,9.057676685621447
cabinet_drawer_organization,50-100,17928.15,5523.0,269.0,4.8705413724425135
cabinet_drawer_organization,100-200,10817.25,3322.0,73.0,2.1974714027694158
cabinet_drawer_organization,200-400,968.02,397.0,3.0,0.7556675062972292
cabinet_drawer_organization,400+,2854.05,219.0,5.0,2.28310502283105
closet_clothes_hanger,<25,26660.5,6398.0,1114.0,17.411691153485464
closet_clothes_hanger,25-50,56387.88,8154.0,1078.0,13.220505273485406
closet_clothes_hanger,50-100,38436.1,4208.0,434.0,10.313688212927756
closet_clothes_hanger,100-200,6253.2,814.0,47.0,5.773955773955774
closet_clothes_hanger,200-400,468.04,124.0,2.0,1.6129032258064515
closet_clothes_hanger,400+,440.01,2.0,1.0,50.0
clothes_rack,<25,1992.9699999999998,503.0,80.0,15.904572564612327
clothes_rack,25-50,10966.17,4133.0,247.0,5.976288410355674
clothes_rack,50-100,29069.12,7883.0,359.0,4.554103767601167
clothes_rack,100-200,19260.019999999997,4647.0,150.0,3.227888960619755
clothes_rack,200-400,7708.09,1000.0,25.0,2.5
clothes_rack,400+,739.02,133.0,1.0,0.7518796992481203
food_containers,<25,22125.99,15963.0,1306.0,8.181419532669299
food_containers,25-50,42728.54,15633.0,1015.0,6.492675750015992
food_containers,50-100,86594.81,18931.0,1230.0,6.4972795943162005
food_containers,100-200,13449.93,2963.0,104.0,3.509956125548431
food_containers,200-400,380.01,54.0,1.0,1.8518518518518516
food_containers,400+,470.54,9.0,1.0,11.11111111111111
lunch_bag,<25,15005.009999999998,11157.0,803.0,7.197275253204266
lunch_bag,25-50,11897.99,7783.0,321.0,4.124373634845176
lunch_bag,50-100,9408.84,3521.0,137.0,3.890940073842658
lunch_bag,100-200,7161.6,1034.0,58.0,5.609284332688588
lunch_bag,200-400,0.0,47.0,0.0,0.0
lunch_bag,400+,0.0,0.0,0.0,
lunch_box,<25,6692.969999999999,8549.0,334.0,3.9068896947011345
lunch_box,25-50,35331.19,22999.0,869.0,3.7784251489195184
lunch_box,50-100,45525.27,25629.0,671.0,2.6181279019860315
lunch_box,100-200,10577.8,4698.0,74.0,1.5751383567475523
lunch_box,200-400,9360.8,2072.0,40.0,1.9305019305019304
lunch_box,400+,0.0,7.0,0.0,0.0
racks,<25,5123.84,3967.0,267.0,6.73052684648349
racks,25-50,34790.55,19453.0,818.0,4.20500693980363
racks,50-100,83794.64,71939.0,1197.0,1.663909701274691
racks,100-200,84590.96,22792.0,543.0,2.3824148824148828
racks,200-400,11385.08,2342.0,42.0,1.7933390264730997
racks,400+,2685.16,402.0,5.0,1.2437810945273633
space_saver_bag,<25,7592.099999999999,3799.0,349.0,9.186628060015794
space_saver_bag,25-50,38406.88,11168.0,855.0,7.655802292263611
space_saver_bag,50-100,91474.22,16307.0,1173.0,7.193229901269394
space_saver_bag,100-200,11856.180000000002,2472.0,92.0,3.7216828478964405
space_saver_bag,200-400,0.0,28.0,0.0,0.0
space_saver_bag,400+,715.19,30.0,1.0,3.3333333333333335
storage_box,<25,9290.86,11921.0,386.0,3.2379833906551463
storage_box,25-50,83223.95999999999,32908.0,1637.0,4.97447429196548
storage_box,50-100,97376.42,44217.0,1296.0,2.9309993893751276
storage_box,100-200,31688.95,7669.0,212.0,2.7643760594601643
storage_box,200-400,2120.55,1502.0,10.0,0.6657789613848202
storage_box,400+,463.51,43.0,1.0,2.3255813953488373
