pt,pst,gmv,n_brands,n_skus,n_selling,gmv_per_sku,selling_pct
storage_home_organization,storage_box,227318.87,309.0,2685.0,716.0,84.66252141527002,26.666666666666668
storage_organization,racks,223508.49000000002,366.0,3505.0,739.0,63.768470756062776,21.08416547788873
storage_organization,food_containers,169503.66999999998,465.0,4261.0,952.0,39.78025580849565,22.34217319877963
storage_home_organization,space_saver_bag,150432.57,205.0,1297.0,382.0,115.98501927525058,29.452582883577488
storage_home_organization,closet_clothes_hanger,130243.36000000002,219.0,1816.0,452.0,71.71991189427314,24.88986784140969
storage_organization,lunch_box,107747.03,353.0,2821.0,627.0,38.19462247429989,22.226160935838355
storage_home_organization,clothes_rack,69771.39,140.0,884.0,211.0,78.92691176470588,23.868778280542987
storage_organization,bag,57544.049999999996,156.0,973.0,237.0,59.140853031860225,24.35765673175745
storage_organization,cabinet_drawer_organization,54940.31999999999,208.0,793.0,210.0,69.28161412358132,26.48171500630517
storage_organization,lunch_bag,44683.44,198.0,1094.0,316.0,40.84409506398538,28.884826325411332
storage_home_organization,foldable_wardrobe,36419.75,47.0,275.0,63.0,132.43545454545455,22.90909090909091
storage_organization,storage_set,33269.229999999996,214.0,1016.0,179.0,32.74530511811023,17.61811023622047
storage_organization,spice_jars,33161.979999999996,196.0,871.0,221.0,38.073455797933406,25.37313432835821
storage_home_organization,storage_basket,30335.559999999998,139.0,877.0,181.0,34.59014823261117,20.63854047890536
storage_home_organization,closet_organization_systems,25417.909999999996,110.0,725.0,109.0,35.05918620689655,15.03448275862069
storage_home_organization,hanging_closet_organizer,25364.449999999997,106.0,545.0,138.0,46.540275229357796,25.321100917431195
storage_organization,storage_bottles,17942.71,140.0,732.0,154.0,24.511898907103824,21.03825136612022
storage_organization,biscuit_cookie_jar,12546.18,89.0,307.0,67.0,40.867035830618896,21.824104234527688
storage_home_organization,other_storage,11631.26,33.0,100.0,20.0,116.3126,20.0
storage_home_organization,under_bed_storage,8638.01,51.0,132.0,27.0,65.4394696969697,20.454545454545457
storage_organization,food_saver,8332.9,101.0,311.0,70.0,26.793890675241155,22.508038585209004
storage_home_organization,garage_storage,7718.469999999999,48.0,159.0,38.0,48.54383647798742,23.89937106918239
storage_organization,aluminium_foil,6632.05,34.0,183.0,52.0,36.24071038251366,28.415300546448087
storage_organization,kitchen_storage_accessories,5785.74,69.0,313.0,50.0,18.48479233226837,15.974440894568689
storage_home_organization,closet_shelf_divider,4728.39,40.0,107.0,30.0,44.190560747663554,28.037383177570092
storage_home_organization,outdoor_storage,4018.03,38.0,104.0,13.0,38.63490384615385,12.5
storage_organization,paper_towel_holder,3987.24,50.0,136.0,44.0,29.317941176470587,32.35294117647059
storage_organization,dinnerware_stemware_storage,3757.9700000000003,26.0,63.0,20.0,59.65031746031747,31.746031746031743
storage_organization,cooler,3660.92,18.0,44.0,9.0,83.20272727272727,20.454545454545457
storage_organization,cling_film,3639.5,29.0,104.0,32.0,34.99519230769231,30.76923076923077
storage_organization,sink_sets,3615.0700000000006,70.0,215.0,39.0,16.814279069767444,18.13953488372093
storage_organization,countertop_wall_organization,3512.17,92.0,331.0,38.0,10.610785498489426,11.48036253776435
storage_organization,flatware_utensil_storage,3504.61,62.0,171.0,35.0,20.494795321637426,20.46783625730994
storage_organization,cereal_dispenser,3273.93,26.0,90.0,21.0,36.376999999999995,23.333333333333332
storage_home_organization,cube_shelf,3143.33,34.0,101.0,19.0,31.12207920792079,18.81188118811881
storage_organization,bread_box,3108.74,45.0,123.0,31.0,25.27430894308943,25.203252032520325
storage_organization,food_wrap_dispenser,2850.8999999999996,59.0,196.0,25.0,14.545408163265304,12.755102040816327
storage_organization,travel_containers,2754.6499999999996,22.0,86.0,15.0,32.03081395348837,17.441860465116278
storage_organization,egg_holder,1492.62,40.0,98.0,23.0,15.230816326530611,23.46938775510204
storage_organization,pods,308.94,20.0,65.0,5.0,4.752923076923077,7.6923076923076925
storage_organization,other_storage,298.75,10.0,25.0,4.0,11.95,16.0
storage_home_organization,tool_organizers,65.0,11.0,21.0,1.0,3.0952380952380953,4.761904761904762
storage_organization,clamshells_hinged,0.0,3.0,5.0,0.0,0.0,0.0
storage_organization,carton,0.0,2.0,5.0,0.0,0.0,0.0
storage_organization,compost,0.0,2.0,2.0,0.0,0.0,0.0
