brand,pb,gmv,gv,orders,cvr
arabest,25-50,29881.6,15142.0,696.0,4.596486593580769
auraluxi,200-400,2227.09,516.0,13.0,2.5193798449612403
basilkit,50-100,76256.78,13304.0,1169.0,8.786831028262176
beauenty,25-50,24882.49,9236.0,635.0,6.87527067994803
beola,25-50,619.87,362.0,13.0,3.591160220994475
cosmoplast,50-100,44074.38,7434.0,464.0,6.241592682270649
dubaigallery,100-200,52104.979999999996,11017.0,306.0,2.7775256421893437
duniso,25-50,301819.9,114806.0,6112.0,5.323763566364128
ecalza,50-100,54842.67,5375.0,562.0,10.455813953488372
esqube,50-100,7767.33,497.0,71.0,14.285714285714285
eworld,25-50,42779.24,13814.0,1000.0,7.239032865209208
feelings,<25,81796.64,30788.0,4120.0,13.381837079381578
haidue,25-50,87067.69,33319.0,2046.0,6.140640475404425
homarket,25-50,23469.300000000003,10832.0,567.0,5.234490398818316
homestar,<25,17533.300000000003,10680.0,786.0,7.359550561797752
livvy,25-50,3882.7399999999993,2164.0,104.0,4.805914972273567
longchamp,50-100,159104.72000000003,47975.0,1598.0,3.330901511203752
mahmir,50-100,78008.31999999999,16434.0,1126.0,6.851649020323719
marcolo,<25,15647.77,8999.0,709.0,7.878653183687076
milton,<25,6273.94,9200.0,335.0,3.641304347826087
moment,25-50,32538.07,9152.0,1372.0,14.991258741258742
noon_east,<25,44318.350000000006,14738.0,1767.0,11.989415117383635
royalford,<25,37679.74,39755.0,3012.0,7.576405483586971
sky_touch,<25,44724.01999999999,14470.0,1986.0,13.72494816862474
skylink,25-50,9408.139999999998,3467.0,187.0,5.3937121430631665
toshionics,25-50,27444.120000000003,16010.0,839.0,5.240474703310431
ununs,25-50,53136.12,17572.0,944.0,5.372183018438425
xiuwoo,<25,5761.79,2997.0,226.0,7.540874207540874
yanek,25-50,12154.73,1384.0,194.0,14.017341040462428
zimnest,25-50,13053.07,3602.0,267.0,7.412548584119934
