pst,pb,gmv,gv,orders,cvr
bag,<25,83139.0,42376.0,5306.0,12.521238436851048
cabinet_drawer_organization,<25,14441.06,8551.0,657.0,7.683311893345808
closet_clothes_hanger,<25,108397.06,32984.0,4628.0,14.031045355323792
clothes_rack,<25,6647.339999999999,3399.0,277.0,8.149455722271256
food_containers,<25,107259.81,91371.0,6298.0,6.89277779601843
lunch_bag,<25,48990.09,42071.0,2516.0,5.980366523258302
lunch_box,25-50,110693.54000000001,77459.0,2752.0,3.552847312771918
racks,<25,18791.34,14333.0,939.0,6.55131514686388
space_saver_bag,<25,55992.93,24388.0,2455.0,10.066426111202231
storage_box,25-50,363825.45,127919.0,7482.0,5.849013829063705
