brand,gmv,returns,pst,return_pct
1chase,6018.64,235.0,food_containers,3.904536573046402
3diamonds,2310.15,0.0,food_containers,0.0
abj,2528.75,0.0,clothes_rack,0.0
adando,21541.38,560.67,lunch_box,2.6027580405712167
adidas,5836.91,308.0,lunch_bag,5.276764589483134
aideli,8752.699999999999,601.96,lunch_box,6.877420681618244
aiwanto,5448.93,346.70000000000005,food_containers,6.362717083904547
almufarrej,4281.639999999999,0.0,racks,0.0
alruht,2478.04,0.0,laundry_basket,0.0
alsaqer,3862.5000000000005,184.5,food_containers,4.776699029126212
amal,2288.4,0.0,food_containers,0.0
anmi,26416.53,792.2,racks,2.9988798680220303
arabest,44788.9,2808.02,lunch_box,6.269455155183539
arnotec,3365.13,65.0,storage_box,1.9315747088522583
artc,3260.83,93.9,garage_storage,2.8796349395706007
auraluxi,46696.159999999996,2228.8,closet_clothes_hanger,4.772983474444152
autoysur,3285.08,48.59,spice_jars,1.4791116198083458
ayda,5066.87,374.85,lunch_box,7.398058367394467
bannuti,6046.72,732.73,racks,12.11780932472481
basilkit,25647.760000000002,282.0,space_saver_bag,1.0995112243720309
beauenty,36391.189999999995,927.6199999999999,space_saver_bag,2.549023541137292
bellsberry,2709.2599999999998,31.0,laundry_basket,1.1442238840126087
bentgo,5452.45,1363.23,lunch_box,25.00215499454374
beola,75019.98999999999,3013.7700000000004,lunch_box,4.017289258502968
bgm,2793.6399999999994,128.95,food_containers,4.615841697570196
blooming_time,12374.84,473.79,racks,3.828655562415353
borosil,6086.38,420.46999999999997,lunch_box,6.908375750446077
brabantia,2455.13,201.51,iron_board,8.207712015249701
bsq,3606.31,225.96999999999997,food_containers,6.265961606184714
bukela,5868.45,500.66,racks,8.531383925908887
cedarwave,7733.160000000001,0.0,racks,0.0
chako_lab,4867.7300000000005,129.0,food_containers,2.6501059015187773
changli,5684.88,112.41,lunch_box,1.9773504453919872
chicabode,2625.83,0.0,storage_bottles,0.0
chielor,3009.5099999999993,91.21,lunch_box,3.0307259321284867
cityriya_long,5201.5599999999995,119.19999999999999,space_saver_bag,2.2916202062458186
clean_and_care,4091.1800000000003,83.93,clothes_drying_stand,2.051486368236059
cleveree,2128.86,57.0,lunch_bag,2.677489360502804
cosmoplast,43699.67,2164.0699999999997,storage_box,4.952142659200859
cozynest,7470.889999999999,361.63,foldable_wardrobe,4.8405210088757835
cuisine_art,7377.1,339.34000000000003,storage_bottles,4.5999105339496555
cytheria,4059.05,154.03,lunch_bag,3.794730294034318
dblew,2487.4300000000003,51.54,racks,2.072018107042208
delcasa,56958.079999999994,2279.4500000000003,clothes_drying_stand,4.001978297021249
dmg_tech,18440.500000000004,896.8199999999999,iron_board,4.86331715517475
dubaigallery,33463.75,1829.32,racks,5.466572036905607
dunekart,8067.530000000001,339.71,racks,4.210830328489636
duniso,356696.63,16315.14,space_saver_bag,4.573954062868494
ecalza,19020.44,228.19,space_saver_bag,1.199709365293337
esqube,60066.659999999996,1291.75,laundry_basket,2.150527430691169
essentials_360,8322.56,733.28,racks,8.81075053829591
eworld,29579.78,837.86,space_saver_bag,2.8325430412261348
falahom,2811.04,294.0,storage_set,10.45876259320394
falcon,5572.57,272.8,bag,4.8954073255248485
falconpack,12078.93,169.38,food_containers,1.4022765261492531
falpro,3457.5099999999998,138.31,clothes_rack,4.000277656463756
famapy,10199.95,169.0,racks,1.6568708670140537
feelings,83889.11,2691.68,closet_clothes_hanger,3.2086167084142385
feelso,2767.63,129.98,space_saver_bag,4.6964370237351085
festive_gallery,2417.77,69.0,closet_clothes_hanger,2.8538694747639353
flushrenic,3711.0600000000004,352.05999999999995,clothes_drying_stand,9.486777362802
forthcan,30125.870000000003,278.0,clothes_rack,0.9227949267523227
fufu,6490.889999999999,661.87,food_containers,10.196906741602463
garlo,5399.73,309.8,racks,5.737323903232199
ggerou,18202.320000000003,1341.2399999999998,lunch_box,7.368511266695671
glad,3156.29,22.35,bag,0.7081098378159169
gtsol,2681.0699999999997,213.01,space_saver_bag,7.944962272525522
gudoo,3665.01,27.61,storage_box,0.7533403728775637
gzyizhou,3106.25,184.59999999999997,lunch_box,5.942857142857142
haidue,63782.229999999996,2291.3900000000003,racks,3.5925209889964655
hanayo,3141.77,60.87,storage_box,1.9374429063871639
harlan,6466.639999999999,0.0,racks,0.0
hawawa,6817.76,223.51,food_saver,3.2783494872216092
hihonor,9878.21,0.0,storage_box,0.0
hoasis,2779.16,166.57999999999998,lunch_bag,5.99389743663553
homarket,33250.04,1335.3300000000002,racks,4.016025243879406
home_box,24902.489999999998,765.63,food_containers,3.0745118259258417
home_care,7874.52,290.09,cabinet_drawer_organization,3.6839070825904305
home_pro,13355.109999999999,82.63,basket,0.6187144845680792
homestar,32074.13,2136.1400000000003,storage_box,6.660009172501328
homify,15596.779999999999,119.69999999999999,laundry_basket,0.7674661051832493
hookor,8570.599999999999,440.3,food_containers,5.137329941894384
hoopzoza,4838.84,66.66,storage_box,1.3776028965619858
hotpack,7086.320000000001,0.0,aluminium_foil,0.0
house_day,7868.51,150.92000000000002,closet_clothes_hanger,1.9180251407191453
hyfy,2768.37,33.99,storage_box,1.227798307307188
hzyh,2008.9399999999998,151.97,storage_bottles,7.564685854231586
ij_store,5736.12,199.5,clothes_drying_stand,3.4779607121189935
infosun,2252.01,0.0,clothes_rack,0.0
jaexest,2036.4,60.36,storage_basket,2.964054213317619
jcb_chic,4253.07,368.53999999999996,storage_box,8.66527002847355
jehan,6282.869999999999,169.98,closet_clothes_hanger,2.7054514895262836
joyoussto,18660.26,354.38,food_containers,1.8991160894864274
keke,6424.030000000001,760.4499999999999,closet_clothes_hanger,11.837584818252713
kimaya,2348.6499999999996,58.25,storage_box,2.480148170225449
kipling,3327.9700000000003,224.0,lunch_bag,6.730829905317656
kovar,26514.870000000003,1127.67,storage_box,4.252972011554271
kutis,2319.69,143.62,clothes_rack,6.191344533105717
lacoz,4406.05,435.83000000000004,clothes_drying_stand,9.891626286583222
lagin,2457.83,126.98,storage_box,5.166345923029665
lennd,20726.199999999997,1038.45,racks,5.010325095772501
liberti,2284.6,0.0,clothes_drying_stand,0.0
lingwei,2820.09,0.0,storage_basket,0.0
livvy,34283.490000000005,753.04,racks,2.1965091651987585
locknlock,9723.300000000001,592.46,food_containers,6.093198811103226
lodroc,2235.93,0.0,lunch_box,0.0
longchamp,142485.38999999998,16625.09,space_saver_bag,11.66792609403673
loopitys,2122.22,0.0,racks,0.0
lucky,4541.01,204.57,lunch_box,4.504944935157597
lukadah,2829.07,409.54,lunch_box,14.476135267066562
luxoraq,2628.17,0.0,storage_bottles,0.0
magic_park,2170.14,65.95,hanging_closet_organizer,3.0389744440450848
mahmir,56391.73999999999,2188.08,lunch_box,3.880142730123242
mamatoons,5372.509999999999,64.99,food_containers,1.2096766688196021
marcolo,56577.61,1823.8200000000002,storage_box,3.2235720101997947
markq,11126.39,117.95999999999998,bag,1.0601821435344256
mi_vaza,12844.3,1214.44,lunch_bag,9.455089027817788
milton,38118.649999999994,2456.5699999999997,lunch_box,6.444535680041135
mitoyo,6228.02,359.96,lunch_box,5.779685999723828
mixde,5455.150000000001,245.94,racks,4.5084003189646475
moment,105280.50999999998,3217.2200000000003,space_saver_bag,3.0558552575400717
monin,3935.09,0.0,storage_bottles,0.0
motim,4066.8499999999995,374.72,storage_box,9.214010843773439
mumfactory,3427.03,0.0,lunch_box,0.0
munkan,8415.699999999999,199.35,food_containers,2.3687869101797836
nayzaan,2208.75,0.0,cabinet_drawer_organization,0.0
nehem,4169.24,243.75,storage_box,5.846389269986856
nkx,8306.29,59.32,racks,0.7141575841922205
noon,6065.63,148.0,storage_set,2.4399773807502267
noon_east,199244.95999999996,3637.2299999999996,food_containers,1.8255066527153312
o2__,4344.48,147.9,clothes_rack,3.4043199646447913
ollieroo,4604.38,0.0,storage_box,0.0
omie,37744.9,681.0,lunch_box,1.8042172584905507
omielife,28166.88,592.0,lunch_box,2.10175922927921
packwell,2794.58,38.980000000000004,bag,1.3948428744212011
palletco,2374.86,0.0,storage_box,0.0
pan_home,7216.49,231.0,storage_basket,3.2010021492443004
pearl,2706.2599999999998,302.6,lunch_box,11.181482932164686
pomefar,7623.89,417.47,lunch_box,5.4758135282644425
qibang,2127.95,180.0,food_containers,8.458845367607323
qk_exclusives,2608.4799999999996,169.98,food_containers,6.516438692265228
r_and_j,6817.55,152.0,racks,2.2295399373675293
ratsaw,3622.4,170.9,closet_clothes_hanger,4.717866607773852
raxoom,5073.829999999999,648.49,racks,12.781074651693103
rayze,5453.639999999999,382.07,lunch_bag,7.005779626084598
red_dot_gift,9740.84,285.55,closet_clothes_hanger,2.9314720291063194
rock_pow,4236.88,394.4,racks,9.308736617510997
rockcamel,3544.4700000000003,145.0,racks,4.090879595538966
rollstimi,8991.43,179.55,racks,1.9969014939781549
royalford,64403.270000000004,1965.41,food_containers,3.051723926440381
s2c,5277.59,443.41,lunch_box,8.401751557055398
scrolls,3991.3799999999997,346.01,racks,8.66893154748483
sistema,4696.57,94.08,lunch_box,2.003164011182629
sky_touch,45559.08,1193.4499999999998,cabinet_drawer_organization,2.619565627751921
skylink,21563.529999999995,857.3599999999999,biscuit_cookie_jar,3.9759723941302747
smiggle,9735.04,628.0899999999999,lunch_bag,6.451848169088159
snack_attack,6724.400000000001,274.95,lunch_box,4.088840640057105
snh_packing,10609.880000000001,419.46,bag,3.953484865050311
solerconm,14130.21,179.0,racks,1.2667893824649457
songmics,35777.71000000001,1268.51,laundry_basket,3.545531561410721
sortify,4017.25,59.95,food_containers,1.49231439417512
soten,14976.46,595.77,storage_box,3.9780428752856154
sparksprout,3114.25,0.0,racks,0.0
ssovi,3609.5899999999997,86.4,lunch_bag,2.3936236525477965
super_zyouth,5579.8099999999995,179.07999999999998,lunch_box,3.2094282780238035
taizz_ventures,9007.83,229.0,laundry_basket,2.5422327019937097
tapit,4908.0,580.02,lunch_box,11.817848410757946
teuuea,26130.66,412.6,biscuit_cookie_jar,1.578988054645386
thermos,6603.159999999999,1063.74,lunch_bag,16.109559665372338
tomshoo,2450.79,567.9300000000001,lunch_box,23.17334410537011
topyich,22789.259999999995,1046.7,storage_box,4.592952996279828
toriseek,2596.21,0.0,storage_set,0.0
toshionics,110742.33,5842.65,lunch_box,5.275895856625014
tpgp,3495.42,29.0,racks,0.8296570941403322
trassle,5104.369999999999,294.58,storage_box,5.7711333621974905
tupperware,2073.87,0.0,food_containers,0.0
tycom,11336.670000000002,221.09999999999997,closet_clothes_hanger,1.9503081592742837
ununs,29062.9,678.55,storage_box,2.3347635645444877
uptyia,3488.52,0.0,racks,0.0
urbanessentia,8434.34,98.30000000000001,sink_sets,1.1654735284562872
urbazaar,15589.33,228.46,closet_organization_systems,1.4654895367536642
vaodo,9194.27,715.64,lunch_box,7.783543446081091
vileda,80407.2,3015.2000000000003,iron_board,3.7499129431195226
vio,4260.82,235.6,lunch_bag,5.529452077299675
vucatin,3600.8599999999997,158.58,lunch_box,4.403947945768512
walalla,12004.46,1083.1599999999999,storage_set,9.02297979251045
waokn,7547.369999999999,427.95,storage_box,5.670187098287219
wigglywhale,2646.58,89.99,lunch_box,3.4002372873670925
winsor,100358.7,2343.14,clothes_drying_stand,2.334765197237509
xicen,4425.429999999999,0.0,space_saver_bag,0.0
xiuwoo,38196.17,2517.1800000000003,food_containers,6.590137178675246
xversion,9435.91,467.78999999999996,storage_box,4.957550464131176
yah_creation,6127.29,38.4,lunch_box,0.6267044647796987
yanara,2173.7,129.0,racks,5.934581588995722
yanek,29767.83,831.02,closet_clothes_hanger,2.791671411721983
yasminara,5817.88,52.79,racks,0.9073751950882453
yoawllty,31938.21,1884.4899999999998,racks,5.900424601128241
youwe7,2364.95,509.31000000000006,racks,21.53576185543035
zayva,15798.140000000001,119.98,closet_clothes_hanger,0.7594564929795533
zerifam,8950.13,598.27,lunch_box,6.684483912524176
zimnest,39720.229999999996,1044.77,food_containers,2.630322130561681
zober,27640.42,260.26,closet_clothes_hanger,0.9415920597443889
zoxity,5908.209999999999,540.95,iron_board,9.155903395444646
