sku,product_name,brand,pst,gmv,gv,orders,units,instock,atc,platform_gmv_loss,express_gmv_loss,cvr,asp
N11002065A,CamelTough Wire Rack 4 Shelf Adjustable Storage Rack  Heavy Duty Shelving Unit for Pantry  Laundry  Bathroom  Kitchen  Garage Closet Organization  600Lbs Capacity  Chrome  90L X 35W X 135H cm  HTC-WR604 Chrome 91 x 35 x 137cm,cameltough,outdoor_storage,149.0,14.0,1.0,1.0,100.0,0.0,0.0,0.0,0.07142857142857142,149.0
N11003072A,"4-Tier Heavy Duty Plastic Shelving Unit, 49 Inches Tall, 30Kg Per Shelf, Modular Garage Rack Storage Organizer, For Home Basement Laundry, Black, Size: 56W X 35.6D X 126.2H Cm- 320400 Black 56 x 35.6 x 126.2cm",tactix,cube_shelf,0.0,6.0,0.0,0.0,37.5,0.0,0.0,0.0,0.0,0.0
N11003073A,"5-Tier Heavy Duty Plastic Shelving Unit, 67 Inches Tall, 30Kg Per Shelf, Modular Garage Rack Storage Organizer, For Home Basement Laundry, Black, Size: 74W X 32D X 171H Cm- 320402 Black 74 x 32 x 171cm",tactix,cube_shelf,0.0,6.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
N11003147A,"Tactix Heavy Duty Performance 5 Tier Shelf Rack - Multipurpose for Living Room, Kitchen, Garage, Adjustable, Perfect for Organizing Your Space TTX-329014 Beige/Black",tactix,clothes_rack,0.0,8.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
N11003151A,"Storage Shelves 4 Tier Adjustable Garage Storage Shelving, Heavy Duty Utility Rack Shelf Unit For Warehouse Pantry Closet Kitchen, Grey/Brown Dimension: 76W X 30.5D X 152.5H Cm- 329103 Silver Vain 76 x 30.5 x 152.5cm",tactix,clothes_rack,0.0,8.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
N11057019A,GreenSaver Produce Keeper Clear 1.5Liters,oxo,food_containers,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
N11057020A,GreenSaver Produce Keeper Clear 4Liters,oxo,food_containers,0.0,2.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
N11057303A,Plastic Squeezer Dispenser Assorted,chefset,storage_bottles,0.0,2.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0
N11057304A,Plastic Squeezer Bottle Clear,chefset,storage_bottles,308.01,35.0,10.0,28.0,100.0,18.0,0.0,0.0,0.2857142857142857,11.000357142857142
N11057305A,Squeezer Dispenser Yellow,chefset,storage_bottles,22.0,11.0,2.0,2.0,100.0,5.0,0.0,0.0,0.18181818181818182,11.0
N11057307A,Squeezer Dispenser Clear,chefset,storage_bottles,22.0,18.0,2.0,2.0,100.0,6.0,0.0,0.0,0.1111111111111111,11.0
N11057308A,Squeezer Dispenser Yellow 12ml,chefset,storage_bottles,0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
N11059506A,Too Round Container Green 400mm,good_2_go,food_containers,0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
N11059507A,Too Square Container Assorted 500ml,good_2_go,food_containers,0.0,3.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
N11059508A,Too Rectangular Container Green 800mm,good_2_go,food_containers,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
N11059509A,Too Round Container Green 800mm,good_2_go,food_containers,0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
N11059512A,Too Rectangular Container Green 1.5Liters,good_2_go,food_containers,0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
N11059514A,Round W/Comp. Cranberry Red 1.8Liters,good_2_go,food_containers,0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
N11059515A,Rectangle Container Green 1Liters,good_2_go,food_containers,9.0,14.0,1.0,1.0,100.0,3.0,0.0,0.0,0.07142857142857142,9.0
N11059516A,Square Container Green 800mm,good_2_go,food_containers,0.0,5.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
N11059517A,Round Box With Compartments Green 1.8Liters,good_2_go,food_containers,0.0,10.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
N11059518A,Round Container Red 800ml,good_2_go,food_containers,0.0,5.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0
N11059519A,Round Container Green 800ml,good_2_go,food_containers,0.0,7.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0
N11059520A,Pizza Container Green 1.2Liters,good_2_go,food_containers,0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
N11059521A,Pizza Container Cranberry Red 1.2Liters,good_2_go,food_containers,0.0,2.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
N11060672A,Kitchen Dispenser 3 Uses Grey,prestige,food_wrap_dispenser,0.0,9.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0
N11060739A,Salt & Pepper Shaker Clear ‎2.2 x 22.6 x 13.4cm,prestige,storage_bottles,0.0,3.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
N11060855A,Oil Vinegar Spray Clear/Silver,prestige,storage_bottles,0.0,11.0,0.0,0.0,100.0,6.0,0.0,0.0,0.0,0.0
N11376122A,15-Pack Plastic Tubular Hanger Pink,honey_can_do,closet_clothes_hanger,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
N11376170A,5-Piece Suit Hanger Set,whitmor,other_storage,0.0,2.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
N11376198A,Natural Wood Clothespins S And 100,whitmor,closet_organization_systems,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
N11376212A,2-Piece Drawer Orgaziner Set White,whitmor,cabinet_drawer_organization,0.0,0.0,0.0,0.0,37.5,0.0,0.0,0.0,0.0,0.0
N11567894A,"Tactix Multi Combination HD Bin - Wall-Mountable with Large Storage Capacity and Open Front Design for Easy Access, Ideal for Organizing Tools in Garage, Basement or Workshop- 320624 Black",tactix,garage_storage,0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
N11625746A,Double Snack Stack Pink,re_play,food_containers,0.0,0.0,0.0,0.0,100.0,0.9,0.0,0.0,0.0,0.0
N11625747A,Double Snack Stack Skyblue,re_play,food_containers,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
N11626108A,6-Cup Rectangular Storage Bowl With Lid Blue,anchor_hocking,food_containers,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
N11626178A,Gia Cake Jar Clear/Pink/Silver,bormioli_rocco,biscuit_cookie_jar,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
N11626196A,2-layer Dish Rack Silver 40cm,filtex,racks,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
N11626197A,2-Layer Dish Rack Silver 50cm,filtex,racks,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
N11626198A,2-Layer Dish Rack Silver 60cm,filtex,racks,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
N11627646A,Aluminum Foil 75 sq.ft. Yellow 31.5x4.9x4.9cm,glad,aluminium_foil,0.0,0.0,0.0,0.0,0.0,0.0,128.05,0.0,0.0,0.0
N11627647A,Aluminum Foil 200 sq.ft. Yellow 33.8x5.9x5.9cm,glad,aluminium_foil,0.0,1.0,0.0,0.0,37.5,0.0,0.0,0.0,0.0,0.0
N11627651A,Cling Wrap 300Sqft,glad,food_wrap_dispenser,13.0,14.0,1.0,1.0,100.0,8.0,0.0,0.0,0.07142857142857142,13.0
N11627652A,Cling Wrap 1000Sqft,glad,cling_film,0.0,6.0,0.0,0.0,100.0,3.0,0.0,0.0,0.0,0.0
N11627654A,Zipper Food Storage Plastic Bags 50 Count 27.4cmx26.5cm yellow,glad,bag,70.0,18.0,5.0,5.0,100.0,5.0,0.0,0.0,0.2777777777777778,14.0
