sku,product_name,brand,pst,gmv,gv,orders,units,instock,offer_price,cvr,asp,gmv_mo
Z4DE41CCDC09C016136E1Z-1,"50 Piece Non-Slip Ultra Slim Velvet Hanger, Set Made In Sturdy Material For",noon_east,closet_clothes_hanger,20085.43,1273.0,334.0,444.0,100.0,49.0,26.23723487824038,45.237454954954956,38162.316999999995
Z522A8CCFE98655437D8AZ-1,Digital Hanging Luggage Scale Portable Handheld Baggage Scale With Small Mi,moment,bag,10313.08,1898.0,645.0,663.0,100.0,15.53,33.98314014752371,15.555173453996984,19594.852
N70252856V-1,100L Clear Plastic Storage Box with Lockable Lid clear,esqube,storage_box,9657.91,936.0,98.0,203.0,100.0,47.5,10.47008547008547,47.57591133004926,18350.029
ZD9462153F7C0BEEF2DA9Z-1,20-Pack Vacuum Storage Bags with Electric and Hand Pump – Space Saver Compr,ecalza,space_saver_bag,9139.21,605.0,92.0,99.0,100.0,99.99,15.206611570247933,92.31525252525252,17364.498999999996
Z3E185F156E2E7DC4883BZ-1,"5-Tier Heavy Duty Iron Storage Rack-White – Metal Shelving Unit for Garage,",auraluxi,racks,8588.29,2058.0,55.0,63.0,100.0,133.62,2.672497570456754,136.3220634920635,16317.751
ZEC0B22B13D49EF70E9FFZ-1,"5-Tier Heavy Duty Iron Storage Rack – Metal Shelving Unit for Garage, Kitch",auraluxi,racks,8233.05,1598.0,49.0,56.0,100.0,133.95,3.066332916145181,147.01874999999998,15642.794999999998
Z12AC4B59A943D21AFC18Z-1,"6 Pack Clothes Storage, Foldable Blanket Storage Bags, Storage Containers F",duniso,storage_box,8113.27,1084.0,112.0,125.0,100.0,65.0,10.33210332103321,64.90616,15415.213
ZBD4601149CE777A58CC5Z-1,"6 Pcs Wardrobe Clothes Organizer,Visible Drawer Organizers，Foldable Closet ",duniso,foldable_wardrobe,8059.38,1238.0,104.0,117.0,100.0,69.0,8.40064620355412,68.88358974358974,15312.822
ZA94EC4DA18438A362585Z-1,Heavy Duty Rolling Garment Rack – Double Rail Clothes Organizer with Storag,livvy,clothes_rack,7745.06,1881.0,69.0,74.0,100.0,108.95,3.6682615629984054,104.66297297297298,14715.614
ZF7777AAA1A7FED7DCCB1Z-1,5-Pack Large Double Wall 100% Recyclable Corrugated Cardboard Moving Boxes ,noon_east,storage_box,7624.22,1098.0,133.0,144.0,100.0,53.0,12.112932604735883,52.945972222222224,14486.018
N51330310A,ZOBER Non-Slip Velvet Hangers - Suit Hangers (100 Pack) Ultra Thin Space Sa,zober,closet_clothes_hanger,7449.13,292.0,57.0,76.0,100.0,88.0,19.52054794520548,98.01486842105264,14153.347
ZE6F9F05F5D68EBDF0958Z-1,50-Piece Cloth Hangers Sturdy Non-Slip Flocking Cloth Hanger for Clothes Sp,zayva,closet_clothes_hanger,6924.12,496.0,103.0,116.0,100.0,59.99,20.766129032258064,59.69068965517241,13155.828
Z8C78096BB69E4CC7D78DZ-1,"7-Piece Vacuum Storage Bags 60x80cm,Reusable Compression Space Saving Bags ",basilkit,space_saver_bag,6210.54,899.0,100.0,111.0,100.0,56.0,11.123470522803114,55.95081081081081,11800.026
ZB1025176E68DD19D8FBCZ-1,Heavy Duty Rolling Garment Rack – Double Rail Clothes Organizer with Storag,livvy,clothes_rack,6139.81,950.0,54.0,62.0,100.0,98.0,5.684210526315789,99.0291935483871,11665.639000000001
Z9F505147E4F895F808F8Z-1,5-Tier Heavy-Duty Metal Storage Rack with Wheels | Foldable Large-Capacity ,toshionics,racks,6064.56,646.0,48.0,51.0,100.0,118.8,7.430340557275541,118.9129411764706,11522.664
Z1D1AF576301FB20E1B8AZ-1,"2PCS Large Storage Bags, Clothes Storage Bins with Zip Lid Foldable Closet ",duniso,storage_box,6052.13,710.0,78.0,92.0,100.0,66.0,10.985915492957748,65.78402173913044,11499.047
Z669CC804060820E2DD51Z-1,"180L Extra Large Moving Bags with Strong Zippers & Carrying Handles, Storag",urbazaar,closet_organization_systems,5705.82,975.0,100.0,143.0,100.0,39.9,10.256410256410255,39.90083916083916,10841.057999999999
ZB995C92504693D3A60DBZ-1,"4 Pack Glass Jars with Airtight Bamboo Lids and Spoons, Clear High Borosili",teuuea,food_containers,5524.73,728.0,88.0,97.0,100.0,56.95,12.087912087912088,56.95597938144329,10496.987
Z92A74D6B96F10E7F7DF4Z-1,"25 piece Clear Plastic Drawer Organizer Tray, Drawer Dividers Storage Bins ",haidue,cabinet_drawer_organization,5478.36,503.0,101.0,106.0,100.0,49.9,20.07952286282306,51.68264150943396,10408.883999999998
N28834621A,6 Piece Borosilicate Glass Food Container Set - Airtight Lids - Lunch Box -,noon_east,food_containers,5416.42,1015.0,103.0,105.0,100.0,57.5,10.147783251231528,51.58495238095238,10291.198
N70257807V-1,30L Clear Plastic Storage Box with Lockable Lid Transparent,esqube,storage_box,5367.36,2116.0,126.0,204.0,100.0,26.31,5.954631379962192,26.310588235294116,10197.983999999999
N32034222A,10 Piece Glass Food Storage Container Set - Airtight Bamboo Lids - Food Sto,noon_east,food_containers,5200.31,709.0,61.0,62.0,100.0,89.0,8.603667136812412,83.8759677419355,9880.589
ZF8F69BD05377F88F1601Z-1,2 Tier Foldable Dish Drying Rack with Utensil Holder & Cutting Board Holder,haidue,racks,5158.73,2571.0,74.0,74.0,100.0,69.9,2.8782574873590043,69.71256756756756,9801.587
N20689067A,6 Piece Borosilicate Glass Food Container Set - Airtight Lids - Lunch Box -,noon_east,food_containers,4824.44,1154.0,85.0,87.0,100.0,61.0,7.365684575389948,55.453333333333326,9166.436
Z5A37C942CC139EDFFD52Z-1,"Ice Packs for Lunch Box, 6 Pack Reusable Ice Bag for Cooler, Slim Lightweig",homify,lunch_box,4822.01,467.0,97.0,121.0,100.0,39.9,20.770877944325484,39.85132231404959,9161.819
ZE58F5AC0534BF7C425AEZ-1,"12PCS Foldable Clothing Storage Organizers, Underwear Drawer Fabric Closet ",teuuea,storage_box,4745.35,1524.0,86.0,95.0,100.0,49.95,5.6430446194225725,49.95105263157895,9016.165
Z44A91C9E9B9AD1E61AC4Z-1,Feelings Plastic Hanger 18 Pcs Set Silver,feelings,closet_clothes_hanger,4555.65,527.0,183.0,271.0,100.0,17.0,34.72485768500949,16.81051660516605,8655.734999999999
Z8992987EEDE30A10EC06Z-1,Double Rod Clothing Rack Heavy Duty Dual Layer Clothes Drying Stand Garment,toshionics,clothes_rack,4540.32,823.0,55.0,61.0,100.0,79.95,6.682867557715674,74.43147540983605,8626.607999999998
N70054945V-1,"Milton Pro Lunch Box Tiffin Set – 3 Steel Containers (180 ml, 320 ml, 450 m",milton,lunch_box,4528.93,4112.0,83.0,85.0,100.0,61.975,2.0184824902723735,53.28152941176471,8604.967
Z2E7025A11D85DAFD8F45Z-1,"Dish Drying Rack- Space-Saving Dish Rack, Dish Racks for Kitchen Counter, S",zimnest,racks,4397.49,3875.0,72.0,73.0,100.0,63.0,1.8580645161290321,60.23958904109589,8355.231
ZE6D8BE064CC2559349EAZ-1,"Longchamp Medium Tote Bag for Women,Space Saver Bag Foldable Bag With Zippe",longchamp,space_saver_bag,4328.23,803.0,42.0,43.0,100.0,94.6,5.230386052303861,100.65651162790697,8223.636999999999
ZC3B02A492A6CE85A5417Z-1,"Songmics Cube Storage Organizer With Storage Boxes, Set Of 6-Cube Organizer",songmics,hanging_closet_organizer,4283.69,1065.0,65.0,67.0,100.0,66.0,6.103286384976526,63.93567164179104,8139.010999999999
Z3CCA6C1E28A6881BC2F5Z-1,"Set of 10 Square Glass Storage Jars with Bamboo Lid, Canisters Sets for the",noon_east,food_containers,4275.09,887.0,57.0,60.0,100.0,69.0,6.426155580608793,71.25150000000001,8122.671
N25651693A,82L Clear Plastic Storage Box With Wheels & Lockable Lid (Transparent) Tran,cosmoplast,storage_box,4251.24,560.0,54.0,82.0,100.0,51.97,9.642857142857144,51.84439024390244,8077.355999999999
